program,params,maxtime
bm_so_lists.rb,1000,2.275,2.137,1.888,3.283312256
bm_so_lists_small.rb,1000,1.165,0.915,1.14,0.669490576
bm_so_matrix.rb,60,1.161,0.668,0.621,0.50011304
bm_so_object.rb,500000,0.609,0.588,0.492,0.359849775
bm_so_object.rb,1000000,0.592,0.474,0.338,0.729995826
bm_so_object.rb,1500000,0.806,0.457,0.435,1.129540878
bm_so_sieve.rb,4000,21.268,4.946,4.574,8.064972228
bm_socket_transfer_1mb.rb,10000,0.414,0.445,0.397,0.251051054
bm_socket_transfer_1mb.rb,1000000,0.29,0.223,0.215,0.246617349
bm_socket_transfer_1mb_noblock.rb,10000,0.424,0.424,0.414,0.255362238
bm_socket_transfer_1mb_noblock.rb,1000000,0.267,0.224,0.227,0.247377432
bm_spectral_norm.rb,100,0.605,0.629,0.729,0.164405896
bm_sum_file.rb,100,10.6,9.023,7.705,3.752695231
bm_word_anagrams.rb,1,3.919,3.527,3.701,2.846176105
bm_write_large.rb,100,1.34,1.362,1.228,1.35179332
bm_app_factorial.rb,5000,,,,0.035291894
bm_fiber_ring.rb,1000,,,,1.90370835
bm_gc_mb.rb,3000000,,,,1.03987166
bm_mbari_bogus1.rb,1,,,,0.047252289
bm_primes.rb,3000000,,,,10.618325835
bm_so_exception.rb,500000,,,,1.637623923
bm_string_concat.rb,10000000,,,,1.703632752
bm_rdoc_against_itself_darkfish.rb,1,,,,6.079684329
bm_rdoc_against_itself_ri.rb,1,,,,5.346408261
